Quarter,Year,Net Sales (in Millions),Cost of Sales (In Millions),Gross Profit,SMA Expenses,BRA & LLA Costs,Operating Profit,Interest Expense,Other Expense,Income before Income Taxes,Income Taxes,Net Income,Reference
1,2024,3252.75,1576.67,1676.081,617.98,0,1058.1,39.82,32.02,986.26,188.81,797.45,Link
1,2023,2987.61,1605.29,1382.32,581.59,0.81,799.92,37.69,2.98,759.25,172.07,587.18,Link
2,2023,2490.28,1358.18,1132.1,571.8,-0.37,560.67,36.66,84.48,439.52,32.54,406.98,Link
3,2023,3029.98,1669.73,1360.25,624.3,0,735.95,39.76,42.78,653.41,134.84,518.57,Link
4,2023,2657.1,1533.96,1123.14,658.81,0,464.33,37.68,106.97,319.67,-29.37,349.04,Link
1,2022,2666.22,1420.74,1245.48,524.22,0.27,720.99,33.18,10.41,677.4,143.93,533.48,Link
2,2022,2372.6,1372.58,1000.02,543.47,0,456.55,33.41,19.66,403.48,87.9,315.58,Link
3,2022,2728.15,1619.65,1108.5,551.88,0,556.62,35.38,48.16,473.09,73.6,399.49,Link
4,2022,2652.34,1507.53,1144.806,616.45,1.715,526.65,35.59,127.94,363.12,-33.17,396.3,Link
1,2021,2295.9,1246.99,1048.91,494.67,1.24,553,36.44,2.41,514.15,117.32,396.83,Link
2,2021,1989.42,1063.97,925.45,467.63,1.141,456.68,31.07,7.19,418.42,117.19,301.24,Link
3,2021,2359.84,1298.5,1061.34,486.14,0.365,574.84,30.15,23,521.68,76.75,444.93,Link
4,2021,2326.13,1313.26,1012.87,552.92,0.777,459.18,29.76,86.47,342.94,3.15,339.79,Link
1,2020,2037.3,1170.7,866.605,475.38,8.44,382.78,36.26,11.53,335,66.23,268.77,Link
2,2020,1707.3,914.78,792.523,408.95,0.23,383.34,38.08,11.22,334.05,66.04,268.01,Link
3,2020,2219.8,1139.81,1079.995,468.61,0,611.38,37.26,11.64,562.48,115.25,447.23,Link
4,2020,2185.2,1223.17,962.027,537.98,18.978,405.07,37.78,103.93,263.36,-27.93,291.29,Link
1,2019,2016.49,1123.98,892.504,453.57,0.06,438.87,37.46,5.48,395.93,92.05,303.88,Link
2,2019,1767.22,892.47,874.744,453.79,10.881,410.07,33.78,13.13,363.17,49.9,313.27,Link
3,2019,2134.42,1191.1,943.318,481.36,1.14,460.82,35.46,18,407.36,82.18,325.18,Link
4,2019,2068.13,1156.21,911.912,517.2,108.514,286.2,37.44,34.44,214.32,9.9,204.42,Link
1,2018,1971.96,997.9,974.06,485.32,8.22,480.51,29.34,1.94,449.23,98.51,350.72,Link
2,2018,1751.62,958.2,793.42,449.55,28.148,315.72,34.95,20.77,260.01,36.69,223.32,Link
3,2018,2079.59,1216.1,863.493,453.92,3.309,406.26,36.92,12.49,356.85,91.44,265.41,Link
4,2018,1987.9,1043.55,944.352,486.04,37.151,421.17,37.63,39.57,343.97,12.37,331.6,Link
1,2017,1879.68,970.33,909.352,459.39,252.73,197.24,23.74,5.14,168.36,70.11,98.25,Link
2,2017,1662.99,897.14,765.847,443.37,1.981,320.49,24.13,15.25,281.12,78.39,202.73,Link
3,2017,2033.12,1090.19,942.936,477.45,4.02,461.46,24.59,36.07,400.8,126.79,274.01,Link
4,2017,1939.64,1102.4,837.241,505.28,-2.255,334.22,25.83,48,260.39,78.84,181.55,Link
1,2016,1828.81,1011.44,817.376,471.73,6.13,339.51,21.01,-21.23,339.73,109.9,229.83,Link
2,2016,1637.67,890.27,747.398,462.53,22.105,262.76,21.34,8.13,233.3,87.34,145.96,Link
3,2016,2003.45,1152.61,850.848,474.49,2.33,374.02,24.39,21.8,327.84,100.43,227.4,Link
4,2016,1970.24,1227.98,742.269,506.62,6.162,229.49,23.41,7.46,198.62,81.77,116.85,Link
1,2015,1937.8,1036.96,900.843,514.01,2.67,384.17,19.2,-9.84,374.8,130.07,244.74,Link
2,2015,1578.83,843.42,735.408,455.55,272.333,7.53,18.88,4.76,-16.11,83.81,-99.91,Link
3,2015,1960.78,1068.72,892.064,500.31,88.744,303.01,46.97,9.41,246.64,91.87,154.77,Link
4,2015,1909.22,1031.5,877.718,499.45,11.834,366.44,20.73,25.81,319.9,92.01,227.89,Link
