l_FullName,r_FullName,l_height_FT,l_height_IN,l_fighter_weight_lbs,l_fighter_reach_IN,l_fighter_DOB,l_fighter_w,l_fighter_l,l_WinStreak,l_leg_reach_IN,r_height_FT,r_height_IN,r_fighter_weight_lbs,r_fighter_reach_IN,r_fighter_DOB,r_fighter_w,r_fighter_l,r_WinStreak,r_leg_reach_IN,event_date,l_fighter_height_cm,r_fighter_height_cm,l_fighter_reach_cm,r_fighter_reach_cm,l_fighter_age,r_fighter_age,l_total_fights,r_total_fights,l_seniority,r_seniority,l_height_dif_cm,r_height_dif_cm,l_weight_dif_lb,r_weight_dif_lb,l_reach_dif_cm,r_reach_dif_cm,l_w.l_ratio,r_w.l_ratio,l_total_fights_dif,r_total_fights_dif,l_win_difference,r_win_difference,l_WinStreak_dif,r_WinStreak_dif
Josefine Knutsson,Piera Rodriguez,5,3,123.5,60,1/16/1996,8,0,4,37,5,3,127.4,63.5,11/11/1992,9,2,0,36,12/14/2024,160.02,160.02,152.4,161.29,28,32,8,11,-4,4,0,0,-3.9,3.9,-8.89,8.89,8,2,-3,3,6,-6,4,-4
Davey Grant,Ramon Taveras,5,8,148,69,12/18/1985,15,7,0,40,5,8,149.6,70,1/9/1994,10,2,2,39,12/14/2024,172.72,172.72,175.26,177.8,38,30,22,12,8,-8,0,0,-1.6,1.6,-2.54,2.54,2.142857143,1,10,-10,1.142857143,-1.142857143,-2,2
Miranda Maverick,Jamey-Lyn Horth,5,3,134.4,65.5,7/1/1997,16,5,3,38,5,7,135.8,66,3/30/1990,7,1,1,42,12/14/2024,160.02,170.18,166.37,167.64,27,34,21,8,-7,7,-10.16,10.16,-1.4,1.4,-1.27,1.27,3.2,1,13,-13,2.2,-2.2,2,-2
Miles Johns,Felipe Lima,5,7,154,68,3/30/1994,15,2,2,37.5,5,6,158.7,68,5/7/1998,13,1,1,38,12/14/2024,170.18,167.64,172.72,172.72,30,26,17,14,4,-4,2.54,-2.54,-4.7,4.7,0,0,7.5,1,3,-3,6.5,-6.5,1,-1
Sean Woodson,Fernando Padilla,6,2,160,78,6/7/1992,12,1,3,44,6,1,159,76,12/15/1996,16,5,1,43,12/14/2024,187.96,185.42,198.12,193.04,32,27,13,21,5,-5,2.54,-2.54,1,-1,5.08,-5.08,12,5,-8,8,7,-7,2,-2
Joel Alvarez,Drakkar Klose,6,2,167.5,77,3/2/1993,21,3,2,42,5,9,173.6,70,3/9/1988,15,2,4,39,12/14/2024,187.96,175.26,195.58,177.8,31,36,24,17,-5,5,12.7,-12.7,-6.1,6.1,17.78,-17.78,7,0.5,7,-7,6.5,-6.5,-2,2
Michael Johnson,Ottman Azaitar,5,10,170,73.5,6/4/1986,23,19,1,41,5,8,168.9,71,2/20/1990,13,2,0,38,12/14/2024,177.8,172.72,186.69,180.34,38,34,42,15,4,-4,5.08,-5.08,1.1,-1.1,6.35,-6.35,1.210526316,2,27,-27,-0.789473684,0.789473684,1,-1
Navajo Stirling,Tuco Tokkos,6,4,219.2,79,11/7/1997,5,0,1,43,6,4,225,76,6/30/1990,10,4,0,42,12/14/2024,193.04,193.04,200.66,193.04,27,34,5,14,-7,7,0,0,-5.8,5.8,7.62,-7.62,5,4,-9,9,1,-1,1,-1
Adrian Yanez,Daniel Marcos,5,7,149,70,11/29/1993,17,5,1,38,5,7,148.8,69,3/7/1993,16,0,4,40,12/14/2024,170.18,170.18,177.8,175.26,31,31,22,16,0,0,0,0,0.2,-0.2,2.54,-2.54,3.4,0,6,-6,3.4,-3.4,-3,3
Vitor Petrino,Dustin Jacoby,6,2,221,77.5,8/28/1997,11,1,0,42.5,6,3,215,76,4/4/1988,19,9,0,45,12/14/2024,187.96,190.5,196.85,193.04,27,36,12,28,-9,9,-2.54,2.54,6,-6,3.81,-3.81,11,9,-16,16,2,-2,0,0
Manel Kape,Bruno Silva,5,5,137.8,68,11/14/1993,19,7,0,39,5,4,135.5,65,3/16/1990,14,5,4,35,12/14/2024,165.1,162.56,172.72,165.1,31,34,26,19,-3,3,2.54,-2.54,2.3,-2.3,7.62,-7.62,2.714285714,1.25,7,-7,1.464285714,-1.464285714,-4,4
Cub Swanson,Quarantillo,5,8,163,70,11/2/1983,29,14,0,38,5,10,161,70,12/8/1988,18,6,0,38,12/14/2024,172.72,177.8,177.8,177.8,41,36,43,24,5,-5,-5.08,5.08,2,-2,0,0,2.071428571,6,19,-19,-3.928571429,3.928571429,0,0
Colby Covington,Joaquin Buckley,5,11,170,72,2/22/1988,17,4,0,39,5,10,170,76,4/27/1994,20,6,5,38,12/14/2024,180.34,177.8,182.88,193.04,36,30,21,26,6,-6,2.54,-2.54,0,0,-10.16,10.16,4.25,1.2,-5,5,3.05,-3.05,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
